"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"FIAT", "MULTIPLA", "LJ652UH", "ZFA18600002310292", "KOVINSKI - SIVA", "08.03.2021"
"BMW", "S 1000 RR", "LJ82GE", "WB10E2104L6D12657", "KOVINSKI - SIVA", "08.03.2021"
"RENAULT", "CLIO", "NB", "VF1BB0A0F20538914", "KOVINSKI - MODRA", "08.03.2021"
"RENAULT", "MEGANE", "LJZALA89", "VF1RFB00860300703", "KOVINSKI - RJAVA", "05.03.2021"
"JAGUAR", "XF", "LJ087KA", "SAJBB4BN0HCY49382", "NAVADEN - ČRNA", "03.03.2021"
"HONDA", "", "DX38306", "JF28E2039098", "KOVINSKI - ČRNA", "03.03.2021"
"AUDI", "A 4 AVANT", "CEFU318", "WAUZZZ8E65A555129", "KOVINSKI - ČRNA", "02.03.2021"
"PEUGEOT", "307", "LJ744JM", "VF33ENFUB82438223", "", "02.03.2021"
"PORSCHE", "PANAMERA 4S", "BCQX894", "WP0ZZZ97ZHL123507", "KOVINSKI - BELA", "02.03.2021"
"RENAULT", "MEGANE", "LJ14KSB", "VF1RFB00564061149", "KOVINSKI - SIVA", "01.03.2021"
"AUDI", "A 6", "", "WAUZZZ4F38N041265", "KOVINSKI - ČRNA", "26.02.2021"
"RENAULT", "CLIO", "LJ12CAI", "VF15RSN0A57534098", "KOVINSKI - SIVA", "25.02.2021"
"AUDI", "Q7", "LJ13GVM", "WAUZZZ4L67D055025", "KOVINSKI - SIVA", "25.02.2021"
"VOLKSWAGEN", "PASSAT", "LJ27NPM", "WVWZZZ3CZ8P119516", "KOVINSKI - MODRA", "24.02.2021"
"BAOTIAN", "BT49QT-9", "LJ6HC5", "L82TCAP96F1201852", "KOVINSKI - RDEČA", "24.02.2021"
"VOLKSWAGEN", "GOLF", "POZA277", "WVWZZZAUZDW126921", "NAVADEN - RDEČA", "22.02.2021"
"BMW", "X5 XDRIVE 30D", "LJ75BCT", "WBAFF41060L065994", "KOVINSKI - MODRA", "22.02.2021"
"MERCEDES BENZ", "560", "AG77ZAN", "WDD2221731A519065", "KOVINSKI - BELA", "22.02.2021"
"AUDI", "Q7", "", "WAUZZZ4L99D004850", "KOVINSKI - SIVA", "19.02.2021"
"AGROMEX", "VSI TIPI", "", "Z29000UT730666596", "KOVINSKI - SIVA", "18.02.2021"
"AUDI", "A 4 AVANT", "CEFS386", "WAUZZZ8K4AA176193", "KOVINSKI - SIVA", "18.02.2021"
"NISSAN", "PRIMERA", "", "SJNBEAP11U0513831", "KOVINSKI - SIVA", "17.02.2021"
"BMW", "", "LJJN595", "WBAXB91050DX41309", "KOVINSKI - SIVA", "17.02.2021"
"FIAT", "PUNTO", "", "ZFA19900001153977", "NAVADEN - BELA", "15.02.2021"
"ŠKODA", "OCTAVIA", "", "TMBZZZ1UZV2028697", "KOVINSKI - RDEČA", "15.02.2021"
"MALAGUTI", "VSI TIPI", "", "ZJM57000057004577", "KOVINSKI - MODRA", "14.02.2021"
"RENAULT", "R5", "GOUN753", "VF1B4040506357151", "KOVINSKI - SIVA", "12.02.2021"
"FIAT", "500", "LJ31GUC", "ZFA3120000J998673", "NAVADEN - BELA", "11.02.2021"
"RENAULT", "MEGANE", "MBJL874", "VF1RFB00955181268", "KOVINSKI - MODRA", "11.02.2021"
"DACIA", "DUSTER", "", "UU1HSDCJ654030864", "NAVADEN - BELA", "10.02.2021"
"RENAULT", "CLIO", "LJ33BGN", "VF15RB20A60560029", "KOVINSKI - RDEČA", "10.02.2021"
"PIAGGIO", "BEVERLY 300", "LJ72DE", "ZAPMA210000011312", "NAVADEN - ČRNA", "09.02.2021"
"RENAULT", "CLIO", "LJ62SNU", "VF15RBF0A61382355", "NAVADEN - BELA", "06.02.2021"
"RENAULT", "CLIO", "KRCT446", "VF1CB1L0F25023914", "KOVINSKI - RDEČA", "04.02.2021"
"RENAULT", "TRAFIC", "", "VF1JL000463248611", "NAVADEN - BELA", "03.02.2021"
"DACIA", "LODGY STEPWAY", "", "UU1J9220261920197", "KOVINSKI - SIVA", "03.02.2021"
"DACIA", "LODGY STEPWAY", "", "UU1J9220461920198", "KOVINSKI - MODRA", "03.02.2021"
"RENAULT", "TRAFIC", "", "VF1JL000161442914", "NAVADEN - BELA", "03.02.2021"
"FIAT", "500", "M8857", "ZFA3120000JB77784", "KOVINSKI - ČRNA", "02.02.2021"
"PIAGGIO", "BRAVO", "KPDV89", "0006627", "NAVADEN - MODRA", "02.02.2021"
"RENAULT", "MEGANE", "LJ23ULJ", "VF1RFB00163944624", "KOVINSKI - MODRA", "01.02.2021"
"KYMCO", "XCITING 300", "LJ64IU", "RFBT7201192701705", "KOVINSKI - BELA", "01.02.2021"
"PIAGGIO", "LIBERTY", "LJ13JJ", "ZAPM6720000007674", "NAVADEN - BELA", "01.02.2021"
"VOLVO", "XC 70", "LJ70JPV", "YV1BZ97C6G1252899", "KOVINSKI - RJAVA", "28.01.2021"
"RENAULT", "LAGUNA", "KPES433", "VF1KT12C650536018", "KOVINSKI - SIVA", "27.01.2021"
"BMW", "320", "CEIU407", "WBAVC31070PS41748", "KOVINSKI - SIVA", "27.01.2021"
"VOLKSWAGEN", "GOLF", "SGHJ876", "WVWZZZ1KZAW287700", "KOVINSKI - SIVA", "25.01.2021"
"PIAGGIO", "NRG POWER", "LJAA60", "ZAPC4510000033726", "NAVADEN - ČRNA", "25.01.2021"
"FIAT", "PANDA", "GOZK059", "ZFA141A0001419131", "", "25.01.2021"
"MERCEDES BENZ", "", "LJ042KM", "WDC1569081J398818", "NAVADEN - ČRNA", "21.01.2021"
"OPEL", "ZAFIRA", "", "W0L0AHM756G061967", "KOVINSKI - SIVA", "20.01.2021"
"FORD", "TRANSIT", "KPCR290", "WF0DXXTTGDGT36393", "NAVADEN - BELA", "20.01.2021"
"SYM", "SYMPHONY SR 25", "", "LXMAZA101KXA35469", "NAVADEN - ČRNA", "19.01.2021"
"ŠKODA", "OCTAVIA COMBI", "LJ38ANR", "TMBJG7NE5H0164580", "KOVINSKI - SIVA", "18.01.2021"
"RENAULT", "CLIO", "LJ13RPF", "VF15RB20A60250987", "KOVINSKI - ČRNA", "18.01.2021"
"RENAULT", "CAPTUR", "LJ70LZD", "VF1R8700362366412", "KOVINSKI - BELA", "15.01.2021"
"KAWASAKI", "SERIJA ER", "LJ28DP", "JKAER650CDDA60808", "NAVADEN - ZELENA", "15.01.2021"
"YIYING", "VSI TIPI", "LJ34NA", "LD5YY31CBGG000021", "KOVINSKI - BELA", "15.01.2021"
"RENAULT", "", "FE035QVN", "VF1VB000162367081", "NAVADEN - BELA", "13.01.2021"
"APRILIA", "SR 50 R", "LJEN70", "ZD4VFD0038S026608", "NAVADEN - SIVA", "13.01.2021"
"AUDI", "Q7", "LJ13GVM", "WAUZZZ4L67D055025", "KOVINSKI - SIVA", "13.01.2021"
"KRONE", "VSI TIPI", "MSFH667", "WKESD000000719380", "NAVADEN - BELA", "12.01.2021"
"DAF", "VSI TIPI", "LJ02KCD", "XLRTEH4300G186240", "NAVADEN - BELA", "12.01.2021"
"VOLKSWAGEN", "TRANSPORTER K+ 2.0", "", "WV1ZZZ7HZCH114459", "NAVADEN - RDEČA", "11.01.2021"
"PIAGGIO", "VESPA 50", "LJ1KA3", "ZAPC5330000003676", "NAVADEN - BELA", "11.01.2021"
"MERCEDES BENZ", "SPRINTER", "KPFN983", "WDB9066331S672684", "NAVADEN - BELA", "11.01.2021"
"BMW", "525", "MBER181", "WBANC51000CN39495", "KOVINSKI - MODRA", "11.01.2021"
"VOLVO", "VSI TIPI", "", "YV2RT60A5HB838427", "NAVADEN - BELA", "11.01.2021"
"SCHMITZ", "SKO 24 L 13 4 FP 45", "CEZI983", "WSM00000005238130", "NAVADEN - BELA", "07.01.2021"
"SYM", "ORBIT 25", "KP6KH5", "LXMAE05WXHX123797", "KOVINSKI - BELA", "07.01.2021"
"RENAULT", "CLIO", "LJ128UH", "VF15RB20A55179098", "KOVINSKI - ČRNA", "05.01.2021"
"VOLVO", "VSI TIPI", "MBPA699", "YV2ASW0A18B511748", "NAVADEN - BELA", "05.01.2021"
"NISSAN", "QASHQAI", "LJ74JLD", "SJNFFAJ11U2602728", "KOVINSKI - SIVA", "04.01.2021"
"BMW", "118D", "LJ88DRS", "WBAUR11020VN72408", "KOVINSKI - SIVA", "04.01.2021"
"ZNEN", "CRUISE", "LJ0SF8", "L5YPACBA1J1144485", "KOVINSKI - BELA", "04.01.2021"
"PIAGGIO", "VSI TIPI", "", "ZAPM3810300011704", "NAVADEN - BELA", "30.12.2020"
"VOLKSWAGEN", "GOLF", "LJ24DRS", "WVWZZZAUZHP310359", "KOVINSKI - SIVA", "29.12.2020"
"RENAULT", "CLIO", "LJ67CUS", "VF15RSN0A60832591", "KOVINSKI - SIVA", "28.12.2020"
"AUDI", "A 5", "", "WAUZZZ8T6DA012800", "NAVADEN - BELA", "23.12.2020"
"AUDI", "Q7", "CEPE541", "WAUZZZ4L78D005848", "KOVINSKI - SIVA", "23.12.2020"
"ŠKODA", "OCTAVIA COMBI", "KPCK270", "TMBJK9NE1E0136149", "NAVADEN - BELA", "21.12.2020"
"LONGJIA", "VSI TIPI", "LJ5DE8", "L4H5FA201K6000148", "NAVADEN - ČRNA", "18.12.2020"
"RENAULT", "CLIO", "LJ259ZL", "VF1557K0F16589190", "NAVADEN - RDEČA", "18.12.2020"
"SEAT", "IBIZA", "LJ024LV", "VSSZZZ6KZ1R049219", "KOVINSKI - RDEČA", "18.12.2020"
"SEAT", "CORDOBA", "LJ969NT", "VSSZZZ6KZTR065764", "KOVINSKI - SIVA", "18.12.2020"
"FIAT", "500", "LJ65TNC", "ZFA3120000JB78379", "NAVADEN - BELA", "17.12.2020"
"RENAULT", "CAPTUR", "LJ028NU", "VF12R5A1H50412124", "KOVINSKI - ORANŽNA", "17.12.2020"
"HYUNDAI", "IX 35", "LJ08AIU", "U5YZT81VABL024088", "KOVINSKI - RJAVA", "16.12.2020"
"HYUNDAI", "IX 35", "LJ08AIU", "U5YZT81VABL024088", "KOVINSKI - RJAVA", "16.12.2020"
"PIAGGIO", "ZIP 25", "KP3AJ2", "LBMC25D0500013066", "NAVADEN - SIVA", "16.12.2020"
"SEAT", "CORDOBA", "LJ988HX", "VSSZZZ6LZ5R004198", "KOVINSKI - MODRA", "16.12.2020"
"SYM", "CROX 25", "KP9AC0", "LXMAEA106GX019152", "", "15.12.2020"
"HONDA", "X8R", "", "ZDCAF49A0XF554384", "NAVADEN - SIVA", "15.12.2020"
"RENAULT", "TRAFIC", "KPDH268", "VF1JL000657737681", "NAVADEN - SIVA", "11.12.2020"
"PIAGGIO", "TYPHOON 50", "LJ18FA", "TEC2T/0068471", "NAVADEN - ČRNA", "11.12.2020"
"TPV", "VSI TIPI", "", "ZY2005005R1000147", "KOVINSKI - SIVA", "10.12.2020"
"VOLKSWAGEN", "MULTIVAN", "LJ64KRM", "WV2ZZZ7HZKH033668", "NAVADEN - BELA", "08.12.2020"
"RENAULT", "CLIO", "LJ23KCH", "VF1BB0A0F21242449", "NAVADEN - RDEČA", "07.12.2020"
"FORD", "FOCUS", "M8852", "WF0LXXGCBLBL18552", "KOVINSKI - SIVA", "07.12.2020"
"VOLKSWAGEN", "TRANSPORTER 2.0", "CEDP240", "WV1ZZZ7HZAH243660", "", "02.12.2020"
"RENAULT", "CLIO", "NMDF705", "VF15R0G0H49550151", "KOVINSKI - RDEČA", "02.12.2020"
"SYM", "MIO", "", "RFGHU05WX8S403358", "NAVADEN - BELA", "01.12.2020"
"RENAULT", "SCENIC", "LJ565GJ", "VF1RFA00156005609", "NAVADEN - BELA", "01.12.2020"
"VOLKSWAGEN", "CC", "LJ36VAH", "WVWZZZ3CZCE713024", "NAVADEN - BELA", "01.12.2020"
"RENAULT", "CLIO", "LJ05VFF", "VF1R9800862365212", "NAVADEN - BELA", "30.11.2020"
"NISSAN", "QASHQAI", "LJ73HES", "SJNFEAJ11U2158482", "NAVADEN - BELA", "30.11.2020"
"MERCEDES BENZ", "", "CEATEA03", "WDB9340421L519037", "NAVADEN - RDEČA", "30.11.2020"
"MERCEDES BENZ", "", "CEATEA04", "WDB9340421L614812", "NAVADEN - RDEČA", "30.11.2020"
"MERCEDES BENZ", "", "CEATEA05", "WDB9340421L615613", "NAVADEN - RDEČA", "30.11.2020"
"MERCEDES BENZ", "", "CEATEA02", "WDB9340321L608456", "KOVINSKI - MODRA", "30.11.2020"
"KRONE", "VSI TIPI", "CEATEA12", "WKESDP27071302720", "NAVADEN - BELA", "30.11.2020"
"MERCEDES BENZ", "", "CEATEA01", "WDB9340321L503561", "NAVADEN - ČRNA", "30.11.2020"
"MERCEDES BENZ", "", "CENS557", "WDB9340421L334824", "NAVADEN - RUMENA", "30.11.2020"
"TOMOS", "APN 6", "GOC1535", "476885", "NAVADEN - RUMENA", "27.11.2020"
"VOLKSWAGEN", "GOLF VARIANT", "KRNK773", "WVWZZZ1KZ9M324739", "NAVADEN - BELA", "27.11.2020"
"RENAULT", "CLIO", "LJ54EHC", "VF15RB20A60405853", "KOVINSKI - ČRNA", "26.11.2020"
"NISSAN", "MICRA", "KRL9706", "SJNFBAK11U3362060", "NAVADEN - MODRA", "24.11.2020"
"CITROEN", "BERLINGO", "", "VF7MFRHYF65398470", "KOVINSKI - SIVA", "23.11.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ72LCV", "VF1RFB00165211946", "KOVINSKI - SIVA", "20.11.2020"
"TOMOS", "FLEXER 25", "LJ7AZ2", "ZZ1A25DAA00308503", "", "20.11.2020"
"VOLKSWAGEN", "POLO", "LJ37ZIC", "WVWZZZ9NZ3Y058872", "KOVINSKI - SIVA", "18.11.2020"
"RENAULT", "CLIO", "LJ82RKU", "VF15RSN0A60679489", "NAVADEN - BELA", "16.11.2020"
"JIAJUE", "JJ50QT-23", "LJ8CP7", "LLPTCBA28BA210010", "KOVINSKI - BELA", "16.11.2020"
"TOMOS", "A 35 S", "LJ10LP", "809696", "KOVINSKI - MODRA", "12.11.2020"
"PIAGGIO", "TYPHOON 50", "LJK7372", "TEC1T0271861", "KOVINSKI - MODRA", "11.11.2020"
"PIAGGIO", "ZIP 50", "", "LBMC25E00B4041146", "NAVADEN - ČRNA", "11.11.2020"
"AUDI", "A 6", "LJTV473", "WAUZZZ4GXCN102452", "NAVADEN - ČRNA", "10.11.2020"
"ŠKODA", "OCTAVIA", "MBAV604", "TMBHT61Z4C2076873", "KOVINSKI - ČRNA", "09.11.2020"
"PIAGGIO", "ZIP 50", "MB5HF8", "LBMC25D0200047756", "NAVADEN - BELA", "09.11.2020"
"POLARIS", "", "SGH5N1", "TAPVDS998JK007566", "NAVADEN - ČRNA", "09.11.2020"
"NIEWIADOW", "VSI TIPI", "", "SWNH30000A0002248", "KOVINSKI - SIVA", "06.11.2020"
"PEUGEOT", "206", "", "VF32CKFWF42279519", "", "05.11.2020"
"BAOTIAN", "BT49QT-12", "LJ3LV7", "L82TCAP94G1206372", "KOVINSKI - RDEČA", "04.11.2020"
"ABARTH", "500", "KPES284", "ZFA3120000J770747", "NAVADEN - RDEČA", "04.11.2020"
"MCC", "SMART", "KPKP585", "TCC01MC01XH010475", "NAVADEN - BELA", "04.11.2020"
"RENAULT", "CLIO", "", "VF1557K0F16549962", "NAVADEN - BELA", "02.11.2020"
"NEW HOLLAND", "VSI TIPI", "MBTG739", "HLRT5095CKLE06971", "NAVADEN - MODRA", "02.11.2020"
"RENAULT", "CAPTUR", "LJ67IGF", "VF12R031660990694", "KOVINSKI - MODRA", "30.10.2020"
"AUDI", "A 5", "LJFEAG", "WAUZZZ8T4FA061898", "NAVADEN - BELA", "30.10.2020"
"DAF", "VSI TIPI", "LJ39SVA", "XLRTEH4100G057173", "NAVADEN - BELA", "29.10.2020"
"SCHMITZ", "", "LJ91UJS", "WSM00000005087741", "NAVADEN - BELA", "29.10.2020"
"MAN", "", "LJ12VFE", "WMA06XZZ3FP061502", "NAVADEN - BELA", "29.10.2020"
"MAN", "", "LJ48VFE", "WMA06XZZ0BM569499", "NAVADEN - BELA", "29.10.2020"
"PIAGGIO", "ZIP", "KP8CK6", "LBMCA220000004082", "NAVADEN - ČRNA", "28.10.2020"
"LINTEX", "VSI TIPI", "LJCJ78", "LJLTCBHU8E3A00430", "NAVADEN - ČRNA", "27.10.2020"
"OPEL", "CORSA", "", "W0L0XCF0846089476", "KOVINSKI - SIVA", "27.10.2020"
"MALAGUTI", "", "GODV02", "4143649", "KOVINSKI - RDEČA", "26.10.2020"
"YAMAHA", "BWS NG", "KPMAMI", "VG5SA051002005690", "NAVADEN - SIVA", "26.10.2020"
"PIAGGIO", "ZIP 50", "LJ9EA2", "LBMCA220000006514", "NAVADEN - ČRNA", "26.10.2020"
"RENAULT", "CLIO", "LJ60VSK", "VF15RKJ0A53802799", "KOVINSKI - ČRNA", "23.10.2020"
"AUDI", "A 3", "LJ03AJP", "WAUZZZ8LZWA078279", "KOVINSKI - SIVA", "21.10.2020"
"RENAULT", "TWINGO", "LJ52LTU", "VF1C068A527774850", "NAVADEN - ZELENA", "21.10.2020"
"RENAULT", "CLIO", "LJ79FFJ", "VF1R9800261750769", "NAVADEN - BELA", "21.10.2020"
"PIAGGIO", "SFERA 50", "LJHM59", "ZAPC0100000042040", "KOVINSKI - SIVA", "21.10.2020"
"PIAGGIO", "RUNNER 180", "", "ZAPM0800000013394", "KOVINSKI - ČRNA", "20.10.2020"
"PIAGGIO", "FLY", "", "ZAPC4410000001990", "", "20.10.2020"
"PEDA", "SPEEDY", "LJHV70", "ZKBTCAB63BB000018", "KOVINSKI - RDEČA", "19.10.2020"
"RENAULT", "", "0", "VF1JL000060774655", "NAVADEN - BELA", "15.10.2020"
"RENAULT", "", "0", "VF1JL000561019446", "NAVADEN - BELA", "15.10.2020"
"SUZUKI", "SERIJA GSX", "LJG72R", "JS1CE111100119434", "KOVINSKI - ČRNA", "15.10.2020"
"SYM", "JET BASIX", "CERP50", "RFGBL05WX6S403272", "KOVINSKI - RDEČA", "15.10.2020"
"BAOTIAN", "BT49QT-10", "LJVL81", "L82TCAPL7A1000062", "NAVADEN - SIVA", "15.10.2020"
"TOMOS", "FLEXER A 35", "LJ2AR9", "ZZ1A25DAA00410425", "NAVADEN - ČRNA", "15.10.2020"
"BAOTIAN", "BT49QT-9", "LJ9EH8", "L82TCAP92G1207441", "KOVINSKI - RDEČA", "14.10.2020"
"VOLKSWAGEN", "TOURAN", "", "WVGZZZ1TZ9W096137", "KOVINSKI - SIVA", "13.10.2020"
"FIAT", "500", "LJ13NTL", "ZFA3120000J534862", "NAVADEN - BELA", "13.10.2020"
"NISSAN", "QASHQAI", "LJ067EU", "SJNFEAJ11U1789963", "NAVADEN - BELA", "13.10.2020"
"PIAGGIO", "VESPA 50", "LJ41GB", "ZAPC5330200001503", "NAVADEN - BELA", "13.10.2020"
"SYM", "G5J", "LJCP03", "RFGG050J6YS216837", "NAVADEN - RUMENA", "13.10.2020"
"PIAGGIO", "CIAO", "LJ08AR", "175302", "KOVINSKI - ČRNA", "13.10.2020"
"TOMOS", "FLEXER 25", "CE4CR9", "ZZ1A24DAA00F77958", "NAVADEN - MODRA", "12.10.2020"
"SHINERAY", "VSI TIPI", "GOPP78", "LXYZCKL00D0608370", "NAVADEN - BELA", "12.10.2020"
"HONDA", "CIVIC", "KPED024", "SHHFK8790KU000312", "KOVINSKI - SIVA", "12.10.2020"
"AUDI", "Q5", "LJ91GCZ", "WAUZZZ8R69A024117", "KOVINSKI - SIVA", "09.10.2020"
"HUSABERG", "450", "", "VBKHUA40X4M383627", "NAVADEN - RUMENA", "09.10.2020"
"VOLVO", "XC 90", "LJ21CGP", "YV1CZ714491509145", "KOVINSKI - MODRA", "08.10.2020"
"HYUNDAI", "TUCSON", "LJ03JLD", "TMAJ381ADHJ213991", "KOVINSKI - ČRNA", "08.10.2020"
"VOLKSWAGEN", "GOLF", "AG448899", "WVWZZZ1KZAW349540", "KOVINSKI - BELA", "07.10.2020"
"RENAULT", "CLIO", "LJ22ELK", "VF15RB20A58553008", "KOVINSKI - RDEČA", "06.10.2020"
"AUDI", "VSI TIPI", "", "WAUZZZ4G9FN018692", "KOVINSKI - SIVA", "05.10.2020"
"PIAGGIO", "ZIP 25", "KP7JR6", "LBMC25D0100021701", "NAVADEN - RDEČA", "05.10.2020"
"ALFA ROMEO", "156", "LJ069HD", "ZAR93200000088561", "KOVINSKI - SIVA", "05.10.2020"
"TPV", "VSI TIPI", "", "ZY210A60000003521", "KOVINSKI - SIVA", "02.10.2020"
"SYM", "ORBIT 50", "LJ1KD9", "LXMXEA101JXA39521", "NAVADEN - ČRNA", "02.10.2020"
"AUDI", "A 4 AVANT", "", "WAUZZZ8K9BA171010", "KOVINSKI - ČRNA", "01.10.2020"
"VOLKSWAGEN", "GOLF", "CEHT465", "WVWZZZ1KZ6W166683", "NAVADEN - MODRA", "01.10.2020"
"IMT", "VSI TIPI", "GONH84", "401086771", "NAVADEN - RDEČA", "01.10.2020"
"RENAULT", "CLIO", "LJ357NI", "VF15RBF0A54971985", "NAVADEN - BELA", "01.10.2020"
"VOLKSWAGEN", "PASSAT", "KKNL366", "WVWZZZ3CZGE101462", "", "01.10.2020"
"RENAULT", "CAPTUR", "LJ077LL", "VF12RAJ1A55310299", "KOVINSKI - ČRNA", "30.09.2020"
"NEW HOLLAND", "TD 95 D", "MSTJ11", "HLRTD595VJLR09355", "NAVADEN - MODRA", "30.09.2020"
"PIAGGIO", "VESPA", "LJ84FS", "ZAPMA330000013505", "NAVADEN - SIVA", "28.09.2020"
"RENAULT", "MEGANE", "LJ68KLT", "VF1RFB00559849222", "KOVINSKI - ČRNA", "25.09.2020"
"PEUGEOT", "BOXER 2 2", "GOF7448", "VF3YDBMFC11316438", "NAVADEN - BELA", "25.09.2020"
"VOLKSWAGEN", "PASSAT", "LJ03LCZ", "WVWZZZ3BZ2E260627", "NAVADEN - BELA", "25.09.2020"
"HONDA", "SHUTTLE", "", "JHMRA18700C004217", "KOVINSKI - SIVA", "25.09.2020"
"ŠKODA", "OCTAVIA COMBI", "CELS269", "TMBJJ7NEXG0190639", "NAVADEN - BELA", "25.09.2020"
"RENAULT", "MEGANE", "LJ017NU", "VF1RFB00458312363", "NAVADEN - BELA", "24.09.2020"
"VOLKSWAGEN", "GOLF", "KPDE839", "WVWZZZ1JZYU571456", "KOVINSKI - SIVA", "23.09.2020"
"PIAGGIO", "ZIP", "", "LBMC25D0300012384", "NAVADEN - BELA", "23.09.2020"
"MERCEDES BENZ", "", "OLDS75", "WDB4632721X243850", "", "21.09.2020"
"ABARTH", "500", "CEVZ195", "ZFA3120000JB20987", "NAVADEN - RUMENA", "21.09.2020"
"PIAGGIO", "SFERA 125", "LJEF32", "ZAPM0100000010278", "KOVINSKI - MODRA", "21.09.2020"
"TOMOS", "APN 4", "MBJK10", "ZZ1A6GBAA00C70190", "NAVADEN - RDEČA", "21.09.2020"
"PIAGGIO", "ZIP 25", "KP9FS9", "LBMC25D0900014625", "NAVADEN - BELA", "18.09.2020"
"BMW", "520D", "", "WBA5E71080G154927", "KOVINSKI - ČRNA", "18.09.2020"
"TOYOTA", "RAV 4", "KPFE400", "JTMDCREV10D009736", "KOVINSKI - SIVA", "16.09.2020"
"RENAULT", "CLIO", "KR1465C", "VF1BB0FBF22168550", "KOVINSKI - ČRNA", "16.09.2020"
"VOLKSWAGEN", "CRAFTER 35 2.5", "MSKC485", "WV1ZZZ2EZ76011548", "KOVINSKI - SIVA", "16.09.2020"
"DUCATI", "MULTISTRADA 1200 S", "GOEB62", "ZDMAC00AAKB010297", "NAVADEN - RDEČA", "15.09.2020"
"TOMOS", "YOUNGST R 25", "LJ6LM1", "ZZ1A24DAC00946583", "KOVINSKI - SIVA", "15.09.2020"
"RENAULT", "CLIO", "LJ51LZD", "VF15R010K58505743", "KOVINSKI - ČRNA", "15.09.2020"
"PIAGGIO", "ZIP 25", "KP0ZT9", "LBMC25D0700026434", "NAVADEN - RDEČA", "14.09.2020"
"FIAT", "DUCATO 18Q 2.8", "CEEA108", "ZFA24400007303044", "", "14.09.2020"
"RENAULT", "MEGANE", "KRE6786", "VF1BA04B521931060", "KOVINSKI - SIVA", "14.09.2020"
"RENAULT", "CAPTUR", "GOHM762", "VF12R401E51351010", "NAVADEN - BELA", "10.09.2020"
"VOLKSWAGEN", "TIGUAN", "", "WVGZZZ5NZHW872551", "KOVINSKI - BELA", "10.09.2020"
"MCCORMICK", "GM 50", "KRCN77", "HSSCH01169", "NAVADEN - RDEČA", "10.09.2020"
"PIAGGIO", "ZIP 25", "KP1ZD9", "LBMC25D0500032670", "NAVADEN - ČRNA", "10.09.2020"
"YAMAHA", "YQ 50", "KP1VJ5", "VG5SA144000227498", "NAVADEN - BELA", "10.09.2020"
"TOMOS", "A 3 ML", "KPMIN", "00000000000000000525348", "NAVADEN - RUMENA", "09.09.2020"
"PIAGGIO", "LIBERTY 50", "LJ63KM", "ZAPC4240400014377", "NAVADEN - BELA", "08.09.2020"
"BETA MOTOR", "VSI TIPI", "", "ZD3E703C7K0204605", "NAVADEN - BELA", "08.09.2020"
"AUDI", "A 6", "", "WAUZZZ4BZWN012626", "KOVINSKI - MODRA", "08.09.2020"
"CAN-AM", "", "0000", "3JBUJAN5XLK000399", "KOVINSKI - SIVA", "07.09.2020"
"RENAULT", "CAPTUR", "GOZJ032", "VF12R061660390849", "KOVINSKI - ORANŽNA", "07.09.2020"
"CFMOTO", "CF500", "MBFM79", "LCELVYZ39C6005077", "KOVINSKI - SIVA", "03.09.2020"
"GOES", "520X", "MBBB64", "LCELDSZA8J6000576", "KOVINSKI - BELA", "03.09.2020"
"RENAULT", "CLIO", "GONA464", "VF15R0G0H51950790", "NAVADEN - BELA", "02.09.2020"
"RENAULT", "CLIO", "LJ43TIF", "VF1R9800063128840", "NAVADEN - BELA", "02.09.2020"
"TOMOS", "A 3 KLSG", "", "582567", "NAVADEN - SIVA", "02.09.2020"
"AUDI", "A 6", "", "WAUZZZ4G9FN068895", "NAVADEN - BELA", "02.09.2020"
"MALAGUTI", "46 PHANTOM", "KPTH57", "ZJM46000046032154", "KOVINSKI - RDEČA", "31.08.2020"
"BAOTIAN", "TANCO 125", "CE6VS1", "L82TCAPC0D1000876", "NAVADEN - BELA", "31.08.2020"
"RENAULT", "CLIO GRANDTOUR", "NMCV934", "VF17R5A0H48461620", "KOVINSKI - RDEČA", "26.08.2020"
"BMW", "320", "LJ862RP", "WBAUY11020F207689", "KOVINSKI - SIVA", "25.08.2020"
"RENAULT", "TWINGO", "KPLD733", "VF1C0660516648588", "", "25.08.2020"
"BRP", "CAN-AM", "CETI93", "3JBLPAP68LJ001539", "NAVADEN - ČRNA", "24.08.2020"
"RIEJU", "VSI TIPI", "CE9TD2", "LEHTCB164FR602917", "NAVADEN - RDEČA", "24.08.2020"
"VLEČNA VOZILA", "", "LJ323FK", "TJ5R2B2J0E1056966", "KOVINSKI - SIVA", "24.08.2020"
"PIAGGIO", "QUARTZ", "LJ25NA", "DGM533160M0041900", "NAVADEN - ČRNA", "20.08.2020"
"RENAULT", "MEGANE", "KKUT084", "VF1RFB00963948470", "NAVADEN - BELA", "19.08.2020"
"PIAGGIO", "ZIP 25", "KP8KH7", "LBMC25D0400012765", "NAVADEN - BELA", "19.08.2020"
"PIAGGIO", "VESPA", "LJ94ER", "ZAPM6820000004320", "KOVINSKI - ČRNA", "19.08.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ973KK", "VF1RFB00757777984", "NAVADEN - BELA", "17.08.2020"
"DAEWOO", "LANOS", "MBM545K", "KLATF69C12B745071", "KOVINSKI - SIVA", "17.08.2020"
